topic,dajare,pun_score,cold_score,scene_score,addictive_score,speed_score,penalty
"趣味","この香酢で鳥肉炒めオクラ入りは、この構図で撮りにくいためお蔵入り",19,14,10,15,12,0
"行事","各市長魅了する隠し調味料。",16,14,7,11,4,50
"行事","星野リゾートから、干し海苔贈答",17,15,8,12,16,50
"行事","傷んだ廊下にいたんだろうか？",18,16,9,14,2,50
"行事","私はスレた中年だから、渡し忘れたっちゅうねん！",16,15,8,11,13,50
"行事","クリスマスにパクリすます",15,14,6,10,19,0
"学校","線状降水帯の洗浄コース痛い",17,15,8,12,8,50
"学校","毛布屋さんはもう増やさん",16,14,7,11,6,50
"学校","改訂内容がどこにも書いていないようだ。",15,13,5,10,17,50
"学校","息してるのに遺棄してる！？",17,15,8,12,1,50
"学校","今日、陰毛剃って教員妄想って・・・",14,17,10,9,15,0
"喜怒哀楽","9日以上かかる、ここの解錠",15,13,6,10,20,50
"喜怒哀楽","各自、都合書くだけで確実合格",16,14,7,11,3,50
"喜怒哀楽","四半世紀経ったら師範、性器勃った",17,17,10,13,5,50
"喜怒哀楽","胸囲伸ばすと脅威のバスト",18,16,9,14,9,50
"喜怒哀楽","「今日、原価割れ」って狂言かワレ！",15,14,6,10,7,0
"スポーツ","新ジャワカレー信者は加齢",16,13,5,11,12,50
"スポーツ","見せブラ着け、店ぶらつけ！",17,15,8,12,4,50
"スポーツ","急性胃炎の佳奈は旧姓言えんのかな？",16,14,7,11,18,50
"スポーツ","自動ソフト同使用で、児童、祖父とどうしよう。",15,16,9,10,6,50
"スポーツ","先週水曜から選手薄いよー",16,14,7,11,10,0
"家族","「別れても好きな人」、声はかれても数奇なヒット",17,15,8,12,3,50
"家族","豊満な乳捜しに放漫な父、佐賀市に",16,17,10,12,14,50
"家族","中央区内科でチュウ多くないか？",15,14,7,10,8,50
"家族","「11時、困る…」と獣医縮こまる",16,15,8,11,5,50
"家族","松田家の成功を、待つだけの聖子。",15,13,6,10,16,0
"仕事","埴輪類は、歯に悪いわ。",17,15,8,12,2,50
"仕事","大物投資家を追う者、凍死か？",16,14,7,11,11,50
"仕事","汚い手を使って、来た内定。",15,13,6,10,17,50
"仕事","裕木奈江他界で言う気萎えたかい？",16,15,8,12,9,50
"仕事","懇談会で会うと思いきや、来ん段階でアウト",15,14,6,10,4,0
"身体","タイ夫婦アンデスで「台風不安です…」",17,15,8,12,13,50
"身体","毛布持参で挑もう富士山",16,14,7,11,6,50
"身体","性教育会が盛況、行くかい？",15,16,9,11,18,50
"身体","小枝師匠の、声出しshow",16,14,7,11,3,50
"身体","大腿部を抱いたイブ。",17,15,8,12,5,0
"ファッション","「優勝したい」と、言う焼死体",16,17,10,12,9,50
"ファッション","為替操作の批判は、かわせそうさ。",17,14,7,12,7,50
"ファッション","お天気コーナーの汚点、聞こうなぁ",15,13,6,10,12,50
"ファッション","中華そば屋があるなんてなんちゅう火葬場や",16,14,7,11,4,50
"ファッション","服を過大評価する福岡代表か？",17,15,8,12,16,0
"ドラゴンボール","「今日、精子採る」と強制しとる",14,17,10,9,2,50
"ドラゴンボール","検疫体制は県へ期待せい！",16,14,7,11,14,50
"ドラゴンボール","口臭え奴は駆逐せえ",17,15,8,12,6,50
"ドラゴンボール","長崎に鳴る鐘、長さ気になるかね？",18,16,9,14,10,50
"ドラゴンボール","時たま悟空溶き卵食う",16,14,7,11,19,0
